Document_starts,Text,Gold_BSC_seq_integrateIF,Gold_IBCC
0,of,1,1
0,operating,1,1
0,experience,1,1
0,",",1,1
0,the,4,3
0,nuclear,3,4
0,industry,3,4
0,still,3,4
0,has,3,4
0,not,3,4
0,managed,3,4
0,to,3,4
0,solve,3,4
0,the,3,4
0,problems,3,4
0,of,3,4
0,safety,3,4
0,",",3,4
0,security,3,4
0,",",3,4
0,and,3,4
0,disposal,3,4
0,of,3,4
0,highly,3,4
0,dangerous,3,4
0,radioactive,3,4
0,waste,1,4
0,",",1,1
0,"""",1,1
0,Block,1,1
0,said,1,1
0,.,1,1
1,[,1,1
0,7,1,1
0,],1,1
0,Wood,1,1
0,clones,1,1
0,are,1,1
0,also,1,1
0,somewhat,1,1
0,inhibited,1,1
0,by,1,1
0,the,1,1
0,actions,1,1
0,of,1,1
0,the,1,1
0,user,1,1
0,",",1,1
0,so,1,1
0,if,1,1
0,they,1,1
0,are,1,1
0,preoccupied,1,1
0,with,1,1
0,other,1,1
0,tasks,1,1
0,the,1,1
0,wood,1,1
0,clones,1,1
0,will,1,1
0,not,1,1
0,be,1,1
0,able,1,1
0,to,1,1
0,act,1,1
0,to,1,1
0,their,1,1
0,full,1,1
0,potential,1,1
0,.,1,1
1,A,1,1
0,key,1,1
0,study,1,1
0,found,1,1
0,that,1,1
0,the,4,3
0,costs,3,4
0,of,3,4
0,the,3,4
0,death,3,4
0,penalty,3,4
0,are,3,4
0,borne,3,4
0,primarily,3,4
0,by,3,4
0,increasing,3,4
0,taxes,3,4
0,and,3,4
0,cutting,3,4
0,services,3,4
0,like,3,4
0,police,3,4
0,and,3,4
0,highway,3,4
0,funding,3,4
0,",",1,1
0,with,1,1
0,county,1,1
0,budgets,1,1
0,bearing,1,1
0,the,1,1
0,brunt,1,1
0,of,1,1
0,the,1,1
0,burden,1,1
0,.,1,1
1,"""",1,1
0,We,1,1
0,are,1,1
0,talking,1,1
0,about,1,1
0,hundreds,1,3
0,of,1,4
0,potential,1,4
0,`,1,4
0,dirty,1,4
0,bombs,1,4
0,',1,1
0,that,1,1
0,could,1,1
0,have,1,1
0,fallen,1,1
0,into,1,1
0,the,1,1
0,hands,1,1
0,of,1,1
0,terrorists,1,1
0,",",1,1
0,"""",1,1
0,Kiriyenko,1,1
0,said,1,1
0,.,1,1
1,Explains,1,1
0,the,1,1
0,popularity,1,1
0,of,1,1
0,minimum,1,1
0,wage,1,1
0,laws,1,1
0,even,1,1
0,among,1,1
0,those,1,1
0,who,1,1
0,lose,1,1
0,their,1,1
0,jobs,1,1
0,as,1,1
0,a,1,1
0,result,1,1
0,as,1,1
0,stemming,1,1
0,from,1,1
0,the,1,1
0,high,1,1
0,turnover,1,1
0,in,1,1
0,the,1,1
0,low,1,1
0,-,1,1
0,wage,1,1
0,market,1,1
0,.,1,1
1,Nuclear,1,3
0,energy,1,4
0,is,1,4
0,not,1,4
0,without,1,4
0,its,1,4
0,dangers,1,4
0,",",1,1
0,but,1,1
0,with,2,2
0,continued,0,0
0,research,0,0
0,and,0,0
0,development,0,0
0,nuclear,0,0
0,energy,0,0
0,could,0,0
0,become,0,0
0,even,0,0
0,safer,0,0
0,and,0,0
0,produce,0,0
0,less,0,0
0,waste,0,0
0,while,0,0
0,providing,0,0
0,a,0,0
0,reliable,0,0
0,source,0,0
0,of,0,0
0,power,1,0
0,.,1,1
1,This,1,1
0,",",1,1
0,coupled,1,1
0,with,1,1
0,numerous,1,1
0,mini,1,1
0,-,1,1
0,games,1,1
0,",",1,1
0,means,1,1
0,that,1,1
0,you,1,1
0,will,1,1
0,almost,1,1
0,certainly,1,1
0,experience,1,1
0,something,1,1
0,new,1,1
0,every,1,1
0,time,1,1
0,you,1,1
0,log,1,1
0,in,1,1
0,.,1,1
1,The,2,2
0,purpose,0,0
0,of,0,0
0,the,0,0
0,minimum,0,0
0,wage,0,0
0,rate,0,0
0,is,0,0
0,to,0,0
0,enable,0,0
0,low,0,0
0,-,0,0
0,wage,0,0
0,workers,0,0
0,to,0,0
0,meet,0,0
0,basic,0,0
0,needs,0,0
0,for,0,0
0,survival,0,0
0,of,0,0
0,self,0,0
0,and,0,0
0,family,0,0
0,.,1,1
0,.,1,1
0,.,1,1
1,Investors,1,1
0,Service,1,1
0,said,1,1
0,legal,2,2
0,sales,0,0
0,will,0,0
0,reduce,0,0
0,the,0,0
0,size,0,0
0,of,0,0
0,the,0,0
0,black,0,0
0,market,0,0
0,and,1,1
0,revenue,1,1
0,from,1,1
0,NOW,1,1
0,THAT,1,1
0,COLORADO,1,1
0,AND,1,1
0,WASHINGTON,1,1
0,HAVE,1,1
0,LEGALIZED,1,1
0,MARIJUANA,1,1
0,",",1,1
0,THE,1,1
0,NEXT,1,1
0,FRONTIER,1,1
0,-,1,1
0,HOW,1,1
0,MUCH,1,1
0,TO,1,1
0,TAX,1,1
0,POT,1,1
0,.,1,1
1,That,1,1
0,way,1,1
0,",",1,1
0,the,1,3
0,killings,1,4
0,between,1,4
0,teenage,1,4
0,criminal,1,4
0,gangs,1,4
0,get,1,4
0,counted,1,4
0,as,1,4
0,"""",1,4
0,children,1,4
0,"""",1,4
0,killed,1,4
0,by,1,4
0,firearms,1,4
0,",",1,4
0,as,1,4
0,if,1,4
0,they,1,4
0,were,1,4
0,toddlers,1,4
0,who,1,4
0,found,1,4
0,a,1,4
0,loaded,1,4
0,gun,1,4
0,in,1,4
0,the,1,4
0,house,1,4
0,.,1,1
1,Post,1,1
0,-,1,1
0,Abortive,1,1
0,People,1,1
0,Experience,1,1
0,Choosing,4,3
0,abortion,3,4
0,can,3,4
0,be,3,4
0,a,3,4
0,traumatic,3,4
0,experience,3,4
0,for,3,4
0,everyone,3,4
0,involved,3,4
0,.,1,1
1,Flynn,1,1
0,said,1,1
0,he,1,1
0,also,1,1
0,has,1,1
0,seen,2,1
0,an,0,2
0,increase,0,0
0,in,0,0
0,public,0,0
0,school,0,0
0,clients,0,0
0,who,0,0
0,want,0,0
0,a,0,0
0,specific,0,0
0,",",0,0
0,identifiable,0,0
0,uniform,0,0
0,",",1,1
0,and,1,1
0,also,2,1
0,a,0,2
0,surge,0,0
0,in,0,0
0,public,0,0
0,charter,0,0
0,school,0,0
0,customers,0,0
0,.,1,1
1,Hard,1,1
0,Drive,1,1
0,Cloning,1,1
0,Software,1,1
0,Comparisons,1,1
0,For,1,1
0,most,1,1
0,home,1,1
0,PC,1,1
0,users,1,1
0,",",1,1
0,the,1,2
0,biggest,1,0
0,benefit,1,0
0,of,1,0
0,HDD,1,0
0,cloning,1,0
0,software,1,0
0,is,1,0
0,its,1,0
0,ability,1,0
0,to,1,0
0,backup,1,0
0,and,1,0
0,restore,1,0
0,your,1,0
0,data,1,0
0,in,1,1
0,the,1,1
0,event,1,1
0,of,1,1
0,an,1,1
0,inevitable,1,1
0,computer,1,1
0,crash,1,1
0,.,1,1
1,aWe,1,1
0,know,1,1
0,that,1,1
0,a,2,2
0,school,0,0
0,uniform,0,0
0,policy,0,0
0,can,0,0
0,help,0,0
0,reduce,0,0
0,instances,0,0
0,of,0,0
0,classroom,0,0
0,discipline,0,0
0,and,0,0
0,bullying,0,0
0,",",0,0
0,as,0,0
0,well,0,0
0,as,0,0
0,improve,0,0
0,student,0,0
0,safety,0,0
0,and,0,0
0,attendance,0,0
0,.,1,1
1,Women,4,3
0,can,3,4
0,get,3,4
0,immediate,3,4
0,medical,3,4
0,treatment,3,4
0,to,3,4
0,prevent,3,4
0,pregnancy,3,4
0,.,1,1
1,The,1,1
0,relationship,1,1
0,between,1,1
0,the,1,1
0,effective,1,1
0,minimum,1,1
0,wage,1,1
0,and,1,1
0,upper,1,1
0,percentiles,1,1
0,remains,1,1
0,pronounced,1,1
0,for,1,1
0,both,1,1
0,males,1,1
0,and,1,1
0,the,1,1
0,pooled,1,1
0,distribution,1,1
0,",",1,1
0,and,1,1
0,is,1,1
0,now,1,1
0,also,1,1
0,sizable,1,1
0,and,1,1
0,significant,1,1
0,for,1,1
0,females,1,1
0,.,1,1
1,On,1,1
0,the,1,1
0,other,1,1
0,hand,1,1
0,",",1,1
0,Royko,1,1
0,initially,1,1
0,explains,1,1
0,that,1,1
0,he,1,1
0,doesn,1,1
0,',1,1
0,t,1,1
0,really,1,1
0,like,1,1
0,to,1,1
0,"""",1,1
0,make,1,1
0,fun,1,1
0,of,1,1
0,people,1,1
0,who,1,1
0,oppose,1,1
0,the,1,1
0,death,1,1
0,penalty,1,1
0,because,1,1
0,they,1,1
0,are,1,1
0,so,1,1
0,sincere,1,1
0,.,1,1
0,"""",1,1
1,The,1,1
0,bill,1,1
0,",",1,1
0,which,1,1
0,passed,1,1
0,",",1,1
0,would,1,1
0,require,1,1
0,doctors,1,1
0,to,1,1
0,have,1,1
0,admitting,1,1
0,privileges,1,1
0,at,1,1
0,nearby,1,1
0,hospitals,1,1
0,",",1,1
0,only,1,1
0,allow,1,1
0,abortions,1,1
0,in,1,1
0,surgical,1,1
0,centers,1,1
0,",",1,1
0,dictate,1,1
0,when,1,1
0,abortion,1,1
0,pills,1,1
0,are,1,1
0,taken,1,1
0,and,1,1
0,ban,1,1
0,abortions,1,1
0,after,1,1
0,20,1,1
0,weeks,1,1
0,.,1,1
1,Crime,2,2
0,and,0,0
0,violence,0,0
0,are,0,0
0,greatly,0,0
0,increased,0,0
0,due,0,0
0,to,0,0
0,the,0,0
0,illegal,0,0
0,selling,0,0
0,and,0,0
0,buying,0,0
0,of,0,0
0,marijuana,0,0
0,.,1,1
1,Then,1,1
0,",",1,1
0,increased,1,2
0,crime,1,0
0,rates,1,0
0,",",1,0
0,high,1,0
0,profile,1,0
0,trials,1,0
0,",",1,0
0,and,1,0
0,public,1,0
0,concern,1,0
0,about,1,0
0,law,1,0
0,and,1,0
0,order,1,0
0,drove,1,1
0,public,1,1
0,support,1,1
0,for,1,1
0,the,1,1
0,death,1,1
0,penalty,1,1
0,to,1,1
0,even,1,1
0,greater,1,1
0,levels,1,1
0,.,1,1
1,[,1,1
0,8,1,1
0,],1,1
0,The,1,1
0,CBO,1,1
0,reported,1,1
0,in,1,1
0,February,1,1
0,2014,1,1
0,that,1,1
0,income,2,2
0,(,0,0
0,GDP,0,0
0,),0,0
0,overall,0,0
0,would,0,0
0,be,0,0
0,marginally,0,0
0,higher,0,0
0,after,0,0
0,raising,0,0
0,the,0,0
0,minimum,0,0
0,wage,0,0
0,",",0,0
0,indicating,0,0
0,a,0,0
0,small,0,0
0,net,0,0
0,positive,0,0
0,increase,1,0
0,in,1,0
0,growth,1,0
0,.,1,1
1,And,2,1
0,the,0,2
0,black,0,0
0,market,0,0
0,benefits,0,0
0,from,0,0
0,the,0,0
0,high,0,0
0,taxes,0,0
0,",",1,1
0,too,1,1
0,-,1,1
0,as,1,1
0,their,1,1
0,products,1,1
0,can,1,1
0,be,1,1
0,sold,1,1
0,for,1,1
0,much,1,1
0,less,1,1
0,.,1,1
1,[,1,1
0,6,1,1
0,],1,1
0,School,4,3
0,uniforms,3,4
0,are,3,4
0,often,3,4
0,impractical,3,4
0,or,3,4
0,uncomfortable,3,4
0,Point,3,1
0,School,3,3
0,uniforms,3,4
0,are,3,4
0,often,3,4
0,not,3,4
0,very,3,4
0,comfortable,3,4
0,or,3,4
0,practical,3,4
0,.,1,1
1,Moorhouse,1,1
0,:,1,1
0,I,4,3
0,found,3,4
0,absolutely,3,4
0,no,3,4
0,support,3,4
0,that,3,4
0,gun,3,4
0,control,3,4
0,laws,3,4
0,reduce,3,4
0,crime,3,4
0,rates,3,4
0,.,1,1
1,After,1,1
0,Chicagoas,1,1
0,ban,1,1
0,on,1,1
0,such,1,1
0,firearms,1,1
0,was,1,1
0,struck,1,1
0,down,1,1
0,in,1,1
0,2010,1,1
0,",",1,1
0,the,1,1
0,city,1,1
0,passed,1,1
0,a,1,1
0,new,1,1
0,law,1,1
0,requiring,1,1
0,anyone,1,1
0,who,1,1
0,wanted,1,1
0,to,1,1
0,keep,1,1
0,a,1,1
0,handgun,1,1
0,at,1,1
0,home,1,1
0,to,1,1
0,complete,1,1
0,an,1,1
0,hour,1,1
0,of,1,1
0,training,1,1
0,on,1,1
0,a,1,1
0,gun,1,1
0,range,1,1
0,.,1,1
1,Students,2,2
0,do,0,0
0,not,0,0
0,worry,0,0
0,about,0,0
0,how,0,0
0,they,0,0
0,look,0,0
0,and,0,0
0,are,0,0
0,therefore,0,0
0,able,0,0
0,to,0,0
0,concentrate,0,0
0,more,0,0
0,on,0,0
0,their,0,0
0,studies,0,0
0,rather,1,1
0,than,1,1
0,social,1,1
0,plans,1,1
0,.,1,1
1,However,1,1
0,",",1,1
0,the,4,3
0,babies,3,4
0,seemingly,3,4
0,have,3,4
0,no,3,4
0,right,3,4
0,to,3,4
0,protection,3,4
0,or,3,4
0,life,3,4
0,themselves,3,4
0,because,1,4
0,of,1,4
0,the,1,4
0,argument,1,4
0,regarding,1,4
0,when,1,4
0,a,1,4
0,fetus,1,4
0,is,1,4
0,determined,1,4
0,be,1,4
0,human,1,4
0,and,1,4
0,have,1,4
0,life,1,4
0,.,1,1
1,According,1,1
0,to,1,1
0,a,1,1
0,poll,1,1
0,taken,1,1
0,in,1,1
0,May,1,1
0,",",1,1
0,57,1,1
0,percent,1,1
0,of,1,1
0,likely,1,1
0,voters,1,1
0,in,1,1
0,Oregon,1,1
0,support,1,1
0,a,1,1
0,proposal,1,1
0,to,1,1
0,tax,1,1
0,",",1,1
0,regulate,1,1
0,and,1,1
0,legalize,1,1
0,marijuana,1,1
0,for,1,1
0,recreational,1,1
0,use,1,1
0,.,1,1
1,South,1,1
0,Korea,1,1
0,Those,1,1
0,convicted,1,1
0,of,1,1
0,possessing,1,1
0,",",1,1
0,using,1,1
0,",",1,1
0,or,1,1
0,trafficking,1,1
0,illegal,1,1
0,drugs,1,1
0,can,1,1
0,suffer,1,1
0,long,1,1
0,jail,1,1
0,sentences,1,1
0,",",1,1
0,large,1,1
0,fines,1,1
0,and,1,1
0,deportation,1,1
0,.,1,1
1,Therefore,1,1
0,",",1,1
0,pursuing,2,2
0,a,0,2
0,higher,0,0
0,minimum,0,0
0,wage,0,0
0,at,0,0
0,this,0,0
0,juncture,0,0
0,will,0,0
0,not,0,0
0,only,0,0
0,provide,0,0
0,raises,0,0
0,for,0,0
0,low,0,0
0,-,0,0
0,wage,0,0
0,workers,0,0
0,but,0,0
0,would,0,0
0,provide,0,0
0,some,0,0
0,help,0,0
0,on,0,0
0,the,0,0
0,jobs,0,0
0,front,0,0
0,as,0,0
0,well,1,0
0,.,1,1
1,"""They",1,1
0,don't,1,1
0,want,1,1
0,it,1,1
0,to,1,1
0,go,1,1
0,anywhere,1,1
0,",",1,1
0,and,1,1
0,they,1,1
0,don't,1,1
0,want,1,1
0,it,1,1
0,to,1,1
0,be,1,1
0,on,1,1
0,the,1,1
0,site,1,1
0,",",1,1
0,"""",1,1
0,Zuercher,1,1
0,said,1,1
0,.,1,1
1,There,1,1
0,one,1,1
0,finds,1,1
0,broad,1,1
0,agreement,1,1
0,that,1,1
0,the,4,3
0,minimum,3,4
0,wage,3,4
0,causes,3,4
0,unemployment,3,4
0,among,3,4
0,low,3,4
0,-,3,4
0,skilled,3,4
0,workers,3,4
0,.,1,1
1,As,1,1
0,a,1,1
0,result,1,1
0,of,1,1
0,these,1,1
0,decisions,1,1
0,",",1,1
0,21,1,1
0,states,1,1
0,threw,1,1
0,out,1,1
0,their,1,1
0,old,1,1
0,mandatory,1,1
0,death,1,1
0,penalty,1,1
0,laws,1,1
0,and,1,1
0,hundreds,1,1
0,of,1,1
0,death,1,1
0,row,1,1
0,prisoners,1,1
0,had,1,1
0,their,1,1
0,sentences,1,1
0,changed,1,1
0,to,1,1
0,life,1,1
0,in,1,1
0,prison,1,1
0,.,1,1
1,We,1,1
0,need,1,1
0,an,1,1
0,AC,1,1
0,which,1,1
0,can,1,1
0,tell,1,1
0,us,1,1
0,that,1,1
0,the,1,1
0,strict,1,2
0,gun,1,0
0,control,1,0
0,is,1,0
0,effective,1,0
0,even,1,1
0,though,1,1
0,the,1,1
0,statistics,1,1
0,are,1,1
0,not,1,1
0,that,1,1
0,great,1,1
0,as,1,1
0,of,1,1
0,now,1,1
0,.,1,1
1,The,1,1
0,rapid,1,1
0,intervention,1,1
0,force,1,1
0,is,1,1
0,essential,1,1
0,to,1,1
0,nuclear,1,1
0,safety,1,1
0,.,1,1
1,When,1,1
0,cost,1,1
0,",",1,1
0,inconvenience,1,1
0,",",1,1
0,embarrassment,1,1
0,or,1,1
0,potential,1,1
0,liability,1,1
0,increase,1,1
0,",",1,1
0,then,1,1
0,fewer,1,1
0,people,1,1
0,take,1,1
0,an,1,1
0,interest,1,1
0,in,1,1
0,firearms,1,1
0,.,1,1
1,a,1,1
0,Linux,1,1
0,LiveCD,1,1
0,based,1,1
0,boot,1,1
0,CD,1,1
0,that,1,1
0,allows,1,1
0,cloning,1,1
0,of,1,1
0,computer,1,1
0,hard,1,1
0,drives,1,1
0,to,1,1
0,backup,1,1
0,data,1,1
0,or,1,1
0,migrating,1,1
0,system,1,1
0,to,1,1
0,another,1,1
0,PC,1,1
0,.,1,1
1,Furthermore,1,1
0,",",1,1
0,there,4,3
0,is,3,4
0,no,3,4
0,guarantee,3,4
0,that,3,4
0,marijuana,3,4
0,legalization,3,4
0,would,3,4
0,significantly,3,4
0,diminish,3,4
0,the,3,4
0,underground,3,4
0,market,3,4
0,for,3,4
0,marijuana,3,4
0,.,1,1
1,This,1,1
0,suggests,1,1
0,that,1,1
0,both,1,1
0,laws,1,1
0,represent,1,1
0,a,1,1
0,negligible,1,1
0,increase,1,1
0,in,1,1
0,the,1,1
0,effective,1,1
0,total,1,1
0,cost,1,1
0,to,1,1
0,women,1,1
0,of,1,1
0,obtaining,1,1
0,an,1,1
0,abortion,1,1
0,of,1,1
0,an,1,1
0,unintended,1,1
0,pregnancy,1,1
0,.,1,1
1,Demonstrators,1,1
0,called,1,1
0,for,1,1
0,new,1,1
0,gun,1,1
0,control,1,1
0,legislation,1,1
0,",",1,1
0,demanding,1,1
0,a,1,1
0,ban,1,1
0,on,1,1
0,assault,1,1
0,weapons,1,1
0,and,1,1
0,stricter,1,1
0,regulations,1,1
0,on,1,1
0,gun,1,1
0,purchases,1,1
0,.,1,1
1,One,1,1
0,final,1,1
0,statistic,1,1
0,from,1,1
0,Dieter,1,1
0,states,1,1
0,that,1,1
0,"""Enforcing",4,3
0,the,3,4
0,death,3,4
0,penalty,3,4
0,costs,3,4
0,Florida,3,4
0,$,3,4
0,51,3,4
0,million,3,4
0,a,3,4
0,year,3,4
0,above,3,4
0,what,3,4
0,it,3,4
0,would,3,4
0,cost,3,4
0,to,3,4
0,punish,3,4
0,all,3,4
0,first,3,4
0,-,3,4
0,degree,3,4
0,murderers,3,4
0,with,1,4
0,life,1,4
0,in,1,4
0,prison,4,4
0,without,3,4
0,parole,3,4
0,.,1,1
1,The,1,1
0,jurors,1,1
0,are,1,1
0,not,1,1
0,required,1,1
0,to,1,1
0,recommend,1,1
0,a,1,1
0,death,1,1
0,sentence,1,1
0,even,1,1
0,if,1,1
0,they,1,1
0,find,1,1
0,that,1,1
0,the,1,1
0,aggravating,1,1
0,factors,1,1
0,outweigh,1,1
0,the,1,1
0,mitigating,1,1
0,factors,1,1
0,.,1,1
1,Also,1,1
0,",",1,1
0,people,1,1
0,say,1,1
0,that,1,1
0,the,4,3
0,uniform,3,4
0,is,3,4
0,expensive,3,4
0,",",1,1
0,but,1,1
0,if,2,2
0,you,0,0
0,have,0,0
0,to,0,0
0,buy,0,0
0,street,0,0
0,clothes,0,0
0,for,0,0
0,every,0,0
0,single,0,0
0,day,0,0
0,",",0,0
0,then,0,0
0,that,0,0
0,will,0,0
0,add,0,0
0,up,0,0
0,to,0,0
0,much,0,0
0,more,1,0
0,than,1,0
0,just,1,0
0,buying,1,0
0,one,1,0
0,uniform,1,0
0,.,1,1
1,Increases,2,2
0,in,0,0
0,the,0,0
0,minimum,0,0
0,wages,0,0
0,are,0,0
0,also,0,0
0,associated,0,0
0,with,0,0
0,more,0,0
0,stable,0,0
0,jobs,0,0
0,for,0,0
0,all,0,0
0,low,0,0
0,educated,0,0
0,workers,0,0
0,.,1,1
1,Oracle,1,1
0,Home,1,1
0,Cause,1,1
0,:,1,1
0,Action,1,1
0,:,1,1
0,Level,1,1
0,:,1,1
0,1,1,1
0,Type,1,1
0,:,1,1
0,UNKNOWN,1,1
0,Impact,1,1
0,:,1,1
0,Cloning,1,1
0,CLONE,1,1
0,-,1,1
0,23031,1,1
0,:,1,1
0,Oracle,1,1
0,inventory,1,1
0,pointer,1,1
0,location,1,1
1,aBut,1,1
0,I,1,1
0,am,1,1
0,in,1,1
0,favor,1,1
0,of,1,1
0,a,1,1
0,$,1,1
0,10,1,1
0,.,1,1
0,10,1,1
0,minimum,1,1
0,wage,1,1
0,because,1,1
0,",",1,1
0,keeping,1,1
0,in,1,1
0,mind,1,1
0,the,1,1
0,price,1,1
0,of,1,1
0,inflation,1,1
0,",",1,1
0,that,2,2
0,is,0,0
0,the,0,0
0,minimum,0,0
0,hourly,0,0
0,wage,0,0
0,that,0,0
0,can,0,0
0,support,0,0
0,someone,0,0
0,in,0,0
0,todayas,0,0
0,economy,0,0
0,.,1,1
1,A,1,1
0,A,1,1
0,common,1,1
0,definition,1,1
0,statesA,1,1
0,that,2,1
0,the,0,2
0,living,0,0
0,wage,0,0
0,should,0,0
0,be,0,0
0,high,0,0
0,enough,0,0
0,that,0,0
0,no,0,0
0,more,0,0
0,than,0,0
0,30,0,0
0,%,0,0
0,of,0,0
0,take,0,0
0,-,0,0
0,home,0,0
0,payA,0,0
0,needs,0,0
0,to,0,0
0,be,0,0
0,spent,0,0
0,on,0,0
0,housing,0,0
0,.,1,1
1,[?]67,4,1
0,innocent,3,3
0,&,3,4
0,helpless,3,4
0,children,3,4
0,are,3,4
0,killed,3,4
0,by,3,4
0,abortion,3,4
0,every,1,4
0,day,1,4
0,in,1,1
0,North,1,1
0,Carolina,1,1
0,North,1,1
0,Carolina,1,1
0,Abortion,1,1
0,Facts,1,1
0,State,1,1
0,abortion,1,1
0,statistics,1,1
0,from,1,1
0,the,1,1
0,leading,1,1
0,public,1,1
0,and,1,1
0,private,1,1
0,sources,1,1
0,.,1,1
1,Second,1,1
0,Amendment,1,1
0,experts,1,1
0,predict,1,1
0,that,1,1
0,the,1,1
0,next,1,1
0,major,1,1
0,gun,1,1
0,case,1,1
0,to,1,1
0,go,1,1
0,to,1,1
0,the,1,1
0,Supreme,1,1
0,Court,1,1
0,will,1,1
0,be,1,1
0,a,1,1
0,challenge,1,1
0,to,1,1
0,one,1,1
0,of,1,1
0,the,1,1
0,remaining,1,1
0,state,1,1
0,or,1,1
0,local,1,1
0,laws,1,1
0,that,1,1
0,effectively,1,1
0,bar,1,1
0,the,1,1
0,carrying,1,1
0,of,1,1
0,concealed,1,1
0,weapons,1,1
0,.,1,1
1,<,1,1
0,ref,1,1
0,name,1,1
0,=,1,1
0,"""",1,1
0,Washington,1,1
0,University,1,1
0,Law,1,1
0,Quarterly,1,1
0,"""",1,1
0,/,1,1
0,>,1,1
0,a,1,1
0,a,1,1
0,Proponents,4,3
0,use,3,4
0,the,3,4
0,discredited,3,4
0,-,3,4
0,but,3,4
0,superficially,3,4
0,appealing,3,4
0,-,3,4
0,claim,3,4
0,that,3,4
0,fewer,3,4
0,lawfully,3,4
0,-,3,4
0,owned,3,4
0,guns,3,4
0,somehow,3,4
0,leads,3,4
0,to,3,4
0,less,3,4
0,crime,3,4
0,",",3,4
0,even,3,4
0,though,3,4
0,guns,3,4
0,are,3,4
